tmk,building_value,land_value,total_value,land_class,n
11019077,44900,740000,784900,RESIDENTIAL,1
11019078,31900,740000,771900,RESIDENTIAL,1
11019079,281700,732600,1014300,RESIDENTIAL A,1
11019080,112500,732600,845100,RESIDENTIAL,1
11019081,100300,740000,840300,RESIDENTIAL,1
11019082,131000,740000,871000,RESIDENTIAL,1
11019083,392000,814000,1206000,RESIDENTIAL,1
11019084,499500,745200,1244700,RESIDENTIAL,1
11019085,97400,780700,878100,RESIDENTIAL,1
11020001,72200,734700,806900,RESIDENTIAL,1
11020002,324800,732700,1057500,RESIDENTIAL,1
11020003,422200,740000,1162200,RESIDENTIAL,1
11020004,18200,740000,758200,RESIDENTIAL,1
11020005,233600,740000,973600,RESIDENTIAL,1
11020006,391100,740000,1131100,RESIDENTIAL A,1
11020007,95700,740000,835700,RESIDENTIAL,1
11020008,146200,740000,886200,RESIDENTIAL,1
11020009,8200,740000,748200,RESIDENTIAL,1
11020010,74100,740000,814100,RESIDENTIAL,1
11020011,27400,740000,767400,RESIDENTIAL,2
11020011,27400,740000,767400,RESIDENTIAL,2
11020012,205200,777000,982200,RESIDENTIAL,1
11020013,444400,740000,1184400,RESIDENTIAL A,1
11020014,236500,740000,976500,RESIDENTIAL,1
11020015,290400,740100,1030500,RESIDENTIAL,1
11020016,204500,740000,944500,RESIDENTIAL,1
11020017,391100,740000,1131100,RESIDENTIAL A,1
11020018,368200,740000,1108200,RESIDENTIAL,1
11020019,162900,740000,902900,RESIDENTIAL,1
11020020,239400,740100,979500,RESIDENTIAL,1
11020021,326100,742100,1068200,RESIDENTIAL A,1
11020022,99200,850600,949800,RESIDENTIAL,1
11020023,135700,837600,973300,RESIDENTIAL,1
11020024,520700,790800,1311500,RESIDENTIAL,2
11020024,520700,790800,1311500,RESIDENTIAL,2
11020025,158300,757900,916200,RESIDENTIAL,1
11020026,26200,750300,776500,RESIDENTIAL,1
11020027,187400,765300,952700,RESIDENTIAL,1
11020028,267600,752700,1020300,RESIDENTIAL A,1
11020029,97000,741000,838000,RESIDENTIAL,1
11020030,0,681200,681200,RESIDENTIAL,1
11020031,322800,636100,958900,RESIDENTIAL,1
11020032,351800,614400,966200,RESIDENTIAL,1
11020033,156500,583300,739800,RESIDENTIAL,1
11020034,431300,583300,1014600,RESIDENTIAL,1
11020035,239300,583300,822600,RESIDENTIAL,1
11020036,301600,583300,884900,RESIDENTIAL,1
11020037,418300,583300,1001600,RESIDENTIAL A,1
11020038,75800,583300,659100,RESIDENTIAL,1
11020039,279900,555500,835400,RESIDENTIAL,1
11020040,293600,583300,876900,RESIDENTIAL,1
11020041,56900,583300,640200,RESIDENTIAL,1
11020042,74400,583300,657700,RESIDENTIAL,1
11020043,75600,583300,658900,RESIDENTIAL,1
11020044,94400,583300,677700,RESIDENTIAL,1
11020045,220100,583300,803400,RESIDENTIAL,1
11020046,171500,583300,754800,RESIDENTIAL,1
11020047,157000,741700,898700,RESIDENTIAL,1
11020048,268800,740000,1008800,RESIDENTIAL A,1
11020049,250200,692000,942200,RESIDENTIAL,1
11020050,118700,641600,760300,RESIDENTIAL,1
11020051,270600,641600,912200,RESIDENTIAL,1
