tmk,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,year_tce
58006044,0,0,479.353302,92.13727109,40.04275037,37.65167475,36.75530842,33.29669799,27.32816854,55.66068458,54.27405191,52.61608335,49.28250749,1457.73411565,1.31857143933,7.13095521715,64.0972435716,211.873994606,0,0,0,0,1481600,2995300,4476900,RESIDENTIAL,2,NA
59001010,21.67657849,-158.0387444,5691.103302,384.7903745,15.74339619,12.13549515,9.411583258,3.730363618,0,38.22865273,36.33612736,32.71846226,28.70957404,937.66421575,0,0,0,53.8592392686,0,0,0,0,2842700,3298300,6141000,RESIDENTIAL A,1,2100
59001012,21.67727501,-158.03862,3634.854767,277.845319,15.16562735,10.92658287,7.613803498,1.222828625,0,38.61353203,37.61786585,36.61294972,34.61241355,754.916429238,0,0,0.0734484572107,185.616831735,0,0,0,0,653800,3180000,3833800,RESIDENTIAL,1,2075
59001015,21.67807973,-158.0384878,3459.000305,265.186014,33.72299465,29.2027096,25.15623512,17.99057495,8.51004188,54.54928717,54.54928717,51.71544113,48.37730632,1583.0165801,0,0,0,0,0,0,0,0,1368000,2988900,4356900,RESIDENTIAL A,3,NA
59001026,21.67932778,-158.0384504,4116.591248,282.9399284,15.56590333,10.59862234,6.242831661,0,0,28.51689702,27.55129125,21.05691893,17.39156806,1575.86532281,0,0,25.179566854,334.19352308,0,0,0,0,1365700,2936100,4301800,RESIDENTIAL A,2,2075
59001027,21.67900223,-158.0386382,1102.411896,146.727686,20.10547264,14.06396062,8.409861509,0,0,30.28974736,29.15677218,28.10214386,26.11527689,2366.37236208,0,0.418157645748,224.812379414,600.002093572,0,0,0,0,1494300,3854800,5349100,RESIDENTIAL,1,2075
59001028,21.67623593,-158.0388555,7173.465271,400.030309,15.40590479,13.16675823,12.09362553,8.512981948,2.694930319,34.62343266,32.66579715,29.72941381,26.58681921,1945.35467112,0,0,0,0.404189029886,0,0,0,0,3123300,4744400,7867700,RESIDENTIAL A,1,NA
59001029,21.67577201,-158.0390612,1536.026581,154.2420459,18.46796331,17.05704854,17.04850261,14.85770172,10.35717235,36.81664495,35.91279289,34.45952927,31.98799855,621.669200533,0,0,0,0,0,0,0,0,596000,3104600,3700600,RESIDENTIAL A,1,NA
59001031,21.67552273,-158.0391755,970.5602112,124.6203273,32.44547706,30.56013051,29.64745062,26.27640719,20.5023341,49.35533597,48.87991288,47.5210338,45.89278561,524.341252996,0,0,0,0,0,0,0,0,991400,3051700,4043100,RESIDENTIAL A,1,NA
59001032,21.67549517,-158.0393342,667.9815674,115.9609442,13.99580483,11.65622472,10.4264097,6.67328888,0.519424719,31.26698845,30.67986846,29.26891071,27.40401678,495.213200137,0,0,0,0,0,0,0,0,313200,3025200,3338400,RESIDENTIAL,1,2100
59001033,21.67500499,-158.0395895,3917.817383,277.5525835,12.43121124,8.611935741,5.69242566,0.069392933,0,47.10203362,46.13878639,45.09229386,42.47777586,709.512407809,0,0,7.01344049316,198.707808346,0,0,0,0,1054500,3165300,4219800,RESIDENTIAL A,1,2075
59001057,21.6768699,-158.0387602,2364.905518,207.026554,17.15328781,13.24680159,10.17879897,4.008363038,0,38.02359174,35.9249301,31.84955727,27.8635379,474.647334121,0,0,0,107.869250581,0,0,0,0,1147600,2875400,4023000,RESIDENTIAL A,1,2100
59001067,21.67589385,-158.0389794,1586.101685,166.2059118,19.48319889,18.28308292,18.57937385,16.78473675,12.71530005,38.27164075,37.49826276,35.62618204,31.43600977,719.118105585,0,0,0,0,0,0,0,0,1207800,3154400,4362200,RESIDENTIAL,1,NA
59001068,21.67602557,-158.0389102,2124.310303,211.6317842,18.72310495,17.61079751,18.05461316,16.42247776,12.51059081,39.05806846,37.31949712,34.8200644,29.09442305,813.526669494,0,0,0,0,0,0,0,0,675200,3225200,3900400,RESIDENTIAL A,1,NA
59001071,21.6776534,-158.038688,2076.380554,184.0553599,13.53882707,9.075645136,5.299464825,0,0,34.71467191,34.61133307,32.95758796,29.47729254,1049.58367653,0,0,2.16966012526,337.458737983,0,0,0,0,365700,3287000,3652700,RESIDENTIAL A,1,2075
59001087,21.67978476,-158.0381894,2740.7229,245.115877,10.26338904,5.677327598,1.826765755,0,0,28.28274411,27.58425229,26.17009795,24.75319836,480.970522191,0,0,52.9845921243,227.757269952,0,0,0,0,1149400,2873100,4022500,RESIDENTIAL A,1,2075
59001088,21.67992637,-158.0380263,1848.64447,207.0872406,17.38291203,12.49573583,8.425303862,1.095301033,0,33.09264243,32.52466784,31.32603504,29.91715331,489.546497857,0,0,25.9811972209,242.138642375,0,0,0,0,840300,2868500,3708800,RESIDENTIAL A,1,2075
59001089,21.68007365,-158.0378978,2897.234161,239.7485838,15.42189625,10.30036714,6.025272377,0,0,30.08032689,29.54926398,28.42087863,27.02856018,500.647423,0,0,0,174.756436869,0,0,0,0,595000,3025100,3620100,RESIDENTIAL,1,2075
59001098,21.67946112,-158.0382762,4030.933136,385.3569777,16.7347152,12.14154343,8.271605172,1.185093677,0,36.5456257,35.28256671,34.03137629,24.54845312,839.734062084,0,0,1.4602834738,128.061435502,0,0,0,0,1266400,3033700,4300100,RESIDENTIAL A,1,2075
59001099,21.67957731,-158.0381418,1513.686279,232.7033701,24.65845916,20.18529203,16.41029926,9.498880794,0.23675168,43.74252677,43.08937952,41.97802786,38.4943704,1074.94923156,0,0,30.0436962136,176.94478572,0,0,0,0,1401200,3238700,4639900,RESIDENTIAL,1,2100
59001103,21.67537035,-158.0392658,1952.410217,198.3647206,22.08112769,19.5320331,18.04176531,13.93391842,7.380397768,39.80881271,39.15110356,37.73822962,36.1862307,868.266419232,0,0,0,55.6847087151,0,0,0,0,1499700,3271200,4770900,RESIDENTIAL A,1,NA
59001110,21.67916315,-158.0386605,1555.290283,165.555208,10.85005203,4.916377192,0,0,0,20.17905,19.26598529,17.94597429,13.12518508,2616.25445063,0,0,97.5678027728,461.870566185,0,0,0,0,540900,936200,1477100,RESIDENTIAL,4,2050
59002001,21.6723354,-158.0424002,1129.866028,140.100914,29.97349207,20.8485491,10.28848784,0,0,41.43034615,40.67735482,38.55871769,37.14413489,473.731467166,0,0,299.290336629,473.73146718,0,0,0,0,294300,1106300,1400600,RESIDENTIAL,1,2075
59002002,21.67243584,-158.0425426,1626.979004,176.6705294,12.92110858,3.203152611,0,0,0,22.36891548,21.37461622,19.27145623,17.82963746,497.197826276,138.61246004,315.509338855,416.322667224,416.322667199,0,0,0.0976742264255,15.1034265244,377300,1210900,1588200,RESIDENTIAL A,1,2050
59002003,21.67236295,-158.0426884,1619.465179,175.0982,10.40601566,0.314268059,0,0,0,18.7737885,17.90403558,16.53908105,14.59337329,467.36049474,151.998470214,324.181437994,363.964065833,363.964065866,0,0,2.94099836992,28.5905945373,427300,1162200,1589500,RESIDENTIAL,1,2030
59002004,21.67229607,-158.0428288,1599.990631,183.3541131,7.776326791,0,0,0,0,16.97176144,16.00800779,14.74581117,13.08816491,567.596286645,171.128515123,367.543608295,446.608394563,446.608394563,0,0,0.42703535028,19.2156371649,354300,1844000,2198300,RESIDENTIAL A,1,2030
59002005,21.67221111,-158.0429802,1538.809479,160.7205263,8.191212952,0,0,0,0,19.45570657,18.74264367,17.1514889,15.37590852,656.282165712,157.224236323,338.761872325,550.773767249,550.773767207,0,0,0,0.216929990493,569500,1844700,2414200,RESIDENTIAL A,1,2030
59002008,21.67209043,-158.0428817,1219.037201,143.9459428,24.36572587,14.5589215,3.433741596,0,0,35.42137462,34.7862725,33.18505215,31.39075535,920.951995457,145.037509747,310.950434071,558.016777436,811.692361438,0,0,0,0,1350200,2512700,3862900,RESIDENTIAL,1,2075
59002011,21.67187194,-158.043054,2863.190521,269.557262,23.30526611,14.38360239,4.482033156,0,0,39.36615728,38.06825699,36.86048872,34.96718039,956.738157537,125.485055113,264.010413074,474.89541513,728.04421812,0,0,0,0,587200,2065900,2653100,RESIDENTIAL A,1,2075
59002012,21.67171887,-158.0432645,2030.218445,217.6726612,28.40597685,20.12943275,11.23127431,0,0,42.37429199,40.95000258,39.59354487,38.83297998,1037.32150523,127.489468944,265.073278633,474.37704816,724.824658597,0,0,0,1.24480380807,1369700,2130000,3499700,RESIDENTIAL A,1,2075
59002017,21.67180045,-158.0435756,1971.5867,193.337604,9.122441693,1.556505196,0,0,0,20.26586497,17.10895273,14.87401964,14.00764051,496.382230776,133.580135119,275.293482209,404.385694703,404.385694701,0,0,2.59492993308,11.2466731827,797400,2100000,2897400,RESIDENTIAL,1,2050
59002018,21.67174835,-158.0437412,2927.691376,245.4030399,5.747010018,0,0,0,0,13.86117466,12.1454018,8.036161324,5.537724796,583.145425997,117.173101117,243.961187177,467.806338847,568.904450068,0,0,0,1.6706363712,894800,2307100,3201900,RESIDENTIAL A,1,2030
59002019,21.67160518,-158.0434999,2271.493805,200.640471,31.13992523,23.49178781,15.44192697,3.375075069,0,42.990327,40.75926334,38.72178632,37.88904971,446.222723189,0,0,18.5677947666,340.581112391,0,0,0,0,287600,1100000,1387600,RESIDENTIAL,1,2100
