tmk,year_tce,total_value,public_costce_discounted
49008012,2024,2027300,1963958.2016
49009003,2050,959500,336668.61928218376
49009005,2024,1697600,1598921.1932
51001020,2075,839200,185851.90423258362
51001021,2075,1073400,237718.5819867198
51002002,2024,1107500,1107500
51002003,2030,982600,822912.0306173586
51002004,2024,1389600,1389600
51002005,2030,1218900,1017310.1052031667
51002017,2100,767900,81222.35734082638
51002061,2100,897700,94453.35496371596
51003031,2075,1017600,225360.93630490595
51003051,2100,1129800,119501.2623045522
51005016,2100,911800,96442.95536315339
51005031,2050,1510500,700410.8857958603
51006001,2075,2307400,511004.1513659002
51006003,2100,1156300,100128.67149093241
51006004,2075,1087200,240774.77392953396
51006005,2100,869000,72671.71429881535
51006006,2100,1120300,103258.7989399142
51006008,2100,1054200,99945.32829226542
51006009,2075,1245300,275788.10336133983
51006010,2050,909900,421915.83249629475
51006012,2075,1834600,391407.8131782619
51006014,2100,1144000,93697.38895238849
51010015,2075,1554800,342751.0777396874
51010016,2075,1533100,339525.20779191365
51010019,2075,1321800,292730.0369573749
51010021,2100,1293300,120836.6759008434
51010022,2075,1315000,291224.087304394
51010023,2075,1021400,226202.49640510118
51010045,2100,1029700,86910.41487304696
51011033,2100,1208200,96026.09052539684
51011035,2075,944200,209105.53858008274
51011059,2100,1093700,86119.33499496798
51012002,2024,961100,861305.7296
51012003,2030,955600,753164.84764883
51012004,2030,1120100,889910.8425894581
51012005,2030,1050200,804803.760935324
51012006,2050,1195000,470087.3263085259
51012007,2075,1630600,297684.9028941105
51012008,2030,1372100,1140706.6705197021
51012013,2100,995000,105243.1899389533
51012016,2030,1054300,870118.0346289518
51012017,2075,1818200,402664.36162498035
51013001,2100,2221300,222532.535664244
53001004,2050,1613000,670001.6864788799
53001005,2075,1301400,223110.96381026882
53001006,2030,2256200,1834144.2149278675
53001007,2100,1371800,104743.04789965966
53001009,2050,1657300,714047.9120801662
53001011,2075,1455700,281644.23817596474
53001013,2050,1735900,796586.5607702946
53001015,2050,1408300,600423.0173271234
53001016,2075,1642700,311567.8015358497
53001017,2075,1701500,321129.52580723056
53001018,2075,1884400,356422.80667309137
53001019,2075,1687400,308689.734558184
53001020,2050,1692300,715632.2605616897
53001021,2075,1702100,306471.99279665365
53001022,2030,1433600,1123324.762490772
53001023,2050,1716500,713184.5030846727
53001024,2050,1654800,702893.6226410753
53001025,2050,1521900,652787.0752269843
53001026,2030,1600000,1292141.2587078658
53001029,2050,1504900,633842.1337283889
53001030,2030,1267300,984876.2600419642
53001031,2050,1564400,617834.0513812326
53001032,2030,1328900,976067.1311364912
53001033,2024,1819400,1617714.1461999998
53001034,2050,1191200,350857.51286647894
53001035,2030,1486000,1095046.1393532804
53001036,2030,1052900,808561.4042253564
53002011,2100,1128600,119374.33584432433
53002012,2100,1052900,111367.39164494869
53002033,2075,856500,58709.19143148243
53002034,2030,1814000,1408445.9204079383
53002035,2030,1198700,893345.2839551512
53002037,2050,1627800,631308.129403024
53002041,2024,1335200,1172111.3730000001
53002043,2100,743000,78588.6332910978
53002046,2050,1555000,585809.798738006
53002049,2075,1126800,246992.42701785342
53002051,2030,1112400,826811.0227415172
53006018,2024,1001300,874726.7451000001
53006019,2030,1233900,955256.7473934733
53006020,2024,1135000,1045794.3754
53006021,2075,1117600,154797.01617187588
53006024,2024,1089100,1045465.5798000001
53006026,2050,1321300,532410.7653963027
53006027,2100,1885200,149955.00920779575
53006040,2050,720900,279757.1983063475
53006041,2100,1118900,71661.45963907134
53006042,2100,1071700,65281.98770945649
53006043,2050,1045500,397046.57200768916
53006044,2050,1285400,495953.65431398596
53006073,2030,1406500,1105137.2502158668
53008003,2024,1166900,1131153.9845
53008011,2075,1488400,300909.5733529856
53008012,2075,1380900,260401.68934564842
53008013,2024,1051600,1003160.9899
53008014,2024,1193800,1078557.9762
53008017,2050,1640800,760830.3087810973
53008018,2050,1593100,669580.28455925
53008019,2024,1206800,1129605.983
53008020,2030,1202600,909517.9274450012
53009031,2024,1417100,1417100
53009032,2030,1418200,1187720.1728287584
53009033,2024,1171700,1171700
53009034,2030,946800,791239.9475687905
53009035,2030,937600,785225.2390665943
53009036,2024,1095700,1006874.8515
53009037,2024,1352800,1067535.26
53009041,2100,1113500,117386.7771204629
53009042,2050,1229800,518867.5466419839
53009043,2024,1055000,911082.9134
53010016,2030,1077600,795871.4738562707
53010017,2030,1241700,921420.6231990431
53010018,2024,1275300,1109556.5365
53010019,2024,1207600,906988.092
53010020,2024,1069400,849903.9183
53010022,2024,1159400,1035024.2542
53010028,2030,1116900,872813.74310784915
53013009,2075,1269500,280181.10687941854
53013010,2100,570200,57170.56843677038
53013011,2100,530800,54099.83824509837
53013022,2024,962100,821637.3168
53013023,2030,1003400,721496.9673475072
53013024,2030,1526700,1157953.416294459
53013026,2050,1297400,452070.3395086802
53013028,2024,1170200,996130.8704
53013029,2030,1170400,796281.1456951189
53013030,2030,1582000,1161162.8048707715
53013031,2030,1600900,1176942.2418810017
53013032,2030,1469800,1056623.9399794645
53013033,2024,1073700,871820.8862000001
53013034,2024,647600,458025.5905
53013035,2024,723500,476880.847
53013038,2100,942800,98957.61888155615
53014003,2100,907000,72876.20964399846
53014004,2100,975700,93276.16556575974
53014012,2075,906300,200712.08389655687
53014049,2100,1281900,127061.31651390887
53014050,2100,783500,76869.9882006834
53014051,2100,1049700,104657.94050318377
53014052,2100,1216100,121544.33777363208
53016010,2100,1039700,109971.20058244196
53016034,2100,884500,93555.37839296905
53016035,2100,1072200,113408.79221361381
54003010,2030,1355300,1061277.7160461855
54003017,2024,1208000,1087183.472
54003055,2024,1443000,1332117.5627000001
54009021,2030,1195100,924997.8492656205
54009022,2024,1073000,984909.9224
54009024,2024,983000,900697.718
54009025,2024,1128400,1038199.4368
54009026,2024,821000,737066.9165
