tmk,year_tce,lat,long,shape_area,shape_length,near_line,near_ce05,near_ce11,near_ce20,near_ce32,near_pf05,near_pf11,near_pf20,near_pf32,area,sa_ce05,sa_ce11,sa_ce20,sa_ce32,sa_pf05,sa_pf11,sa_pf20,sa_pf32,building_value,land_value,total_value,land_class,n,point_count,percenthazard_ce05,landvalue_ce05,percenthazard_ce11,landvalue_ce11,percenthazard_ce20,landvalue_ce20,percenthazard_ce32,landvalue_ce32,public_costce,public_costce_discounted,discount_countywide,capped_discounted
53001031,2050,21.56723306,-157.8751559,1517.969925,176.2462968,18.02240011,11.88099767,5.505055599,0,0,21.94952739,21.94928915,21.56256319,20.94900672,1426.99583739,185.256208314,378.93901406,680.771627285,1044.44886431,0,0,0,0,690800,873600,1564400,RESIDENTIAL A,1,1,0.12982252888196003,760186.6272,0.26555018881700876,641615.52,0.4770663021205045,456835.1424,0.7319214513059233,234193.81439999997,1332415.52,617834.0513812326,617834.0513812326,617834.0513812326
53001032,2030,21.56697911,-157.8751155,4025.914658,312.7487003,7.970351198,1.29216861,0,0,0,12.40111748,12.40107953,11.40089722,11.40085085,1171.95410015,207.886884612,427.327211116,760.798320001,1109.87282555,0,0,0,0,407600,921300,1328900,RESIDENTIAL,1,1,0.17738483493968943,757875.1995,0.36462794153909767,585368.2236,0.6491707481578198,323218.75769999996,0.9470275545842162,48803.10360000002,1165475.1995,976067.1311364912,976067.1311364912,779700
53001033,2024,21.56665858,-157.8750997,3919.339981,295.4062559,3.307570095,0,0,0,0,7.850831942,7.85084222,7.850876587,6.850599787,985.286701821,209.773267519,432.657186741,769.338284967,931.394699476,0,0,0,1.32939307867,872100,947300,1819400,RESIDENTIAL A,1,1,0.21290581424807473,745614.1462,0.43911806171885404,531323.5186,0.7808268228375704,207622.58289999995,0.9453032277352398,51814.4681,1617714.1461999998,1617714.1461999998,1617714.1461999998,779700
53001034,2050,21.56646219,-157.8751761,749.2313385,110.0803918,15.94186671,9.056752407,1.775215009,0,0,16.90785314,16.20743469,15.90762966,14.90740676,864.909689819,187.469663312,407.283652857,742.765885935,855.733666248,0.033049245296,1.83700392114,6.58985757459,20.8256128033,268400,922800,1191200,RESIDENTIAL A,1,1,0.21675056427131928,722782.1771999999,0.47089731754795394,488256.2484,0.8587785461051303,130318.73880000004,0.9893907726101203,9789.985199999981,756656.2483999999,350857.51286647894,350857.51286647894,350857.51286647894
53001035,2030,21.56605896,-157.8751377,2334.937607,222.9835179,6.934302227,0.198647069,0,0,0,8.470661086,7.691187473,6.723877996,5.767840525,746.769377509,147.664045176,365.133268315,696.028451697,746.769377557,0,0,0,0.00540707610639,583500,902500,1486000,RESIDENTIAL,1,2,0.19773714566144,724042.3574999999,0.488950510441357,461221.7225,0.932052749697294,61322.16749999998,1.0000000000642768,0,1307542.3575,1095046.1393532804,1095046.1393532804,779700
53001036,2030,21.565859,-157.8751608,1582.038239,172.8144064,11.17756971,4.526521859,0,0,0,12.81158531,11.8448072,11.00606558,10.00664698,1717.01820398,169.943097378,748.413789286,1499.17469116,1499.32401775,0.00555945657142,0.402888411486,3.731925133,13.3901784231,169500,883400,1052900,RESIDENTIAL A,1,1,0.09897571090631228,795964.6016,0.435879938576771,498343.60799999995,0.8731268472780052,112079.60820000002,0.8732138158317768,112002.75239999995,965464.6016,808561.4042253564,808561.4042253564,779700
53002011,2100,21.57497777,-157.8790395,2934.823364,293.7572844,50.45445022,41.86396923,32.04382502,17.7382742,1.475878342,48.69709297,47.80032721,46.46065538,45.61928629,468.253755172,0,0,0,0,0,0,0,0,486000,642600,1128600,RESIDENTIAL,1,1,0,642600,0,642600,0,642600,0,642600,1128600,119374.33584432433,119374.33584432433,119374.33584432433
53002012,2100,21.57493291,-157.8788573,2259.707108,202.7332566,54.7808719,45.93973131,35.67573,20.62731876,3.390451461,52.97892781,52.3628091,51.46954956,50.7064414,521.43127975,0,0,0,0,0,0,0,0,410300,642600,1052900,RESIDENTIAL,1,1,0,642600,0,642600,0,642600,0,642600,1052900,111367.39164494869,111367.39164494869,111367.39164494869
53002033,2075,21.57554129,-157.8794107,417.6819458,81.80972099,21.79996267,15.36861957,8.361935031,0,0,24.40049902,22.64722587,20.4959652,18.53105026,707.491992281,25.7529204371,203.511044686,496.04399071,707.491992236,0,0,0,0,13000,843500,856500,RESIDENTIAL,1,3,0.03640029953423348,812796.6,0.28765137543093205,600866.3815,0.7011301839766724,252096.84499999997,0.9999999999363951,0,265096.845,58709.19143148243,58709.19143148243,58709.19143148243
53002034,2030,0,0,2470.312439,233.023557,12.3737028,4.450776597,0,0,0,13.38132292,12.35022643,10.94121026,9.159290288,1372.73020514,199.070275226,418.990050792,747.57880272,893.400196642,419.400589498,449.438615659,489.993047038,543.936250485,902100,911900,1814000,RESIDENTIAL A,1,1,0.1450177715042684,779658.0858,0.3052238882943999,633566.2344000001,0.5445926664400578,415285.6433,0.6508199450240006,318417.242,1681758.0858,1408445.9204079383,1408445.9204079383,779700
